"","cue","coverage","H","unknown","N"
"55","accomplished",84.5360824742268,3.85343990868591,3,100
"56","accomplishment",95.9183673469388,3.14681145728693,2,100
"57","accord",82.0224719101124,2.81108509563769,11,100
"58","accordion",89,3.1991737925718,0,100
"59","account",93,3.29230472627343,0,100
"60","accountant",90.8163265306122,3.09855537075026,2,100
"61","accounting",92.9292929292929,3.43145405187225,1,100
"62","accumulate",93,3.0164705095865,0,100
"63","accuracy",90.8163265306122,3.28717391753179,2,100
"64","accurate",98,2.63869874552009,0,100
"65","accusation",90.9090909090909,3.63498719113907,1,100
"66","accuse",87.8787878787879,3.66837137161814,1,100
"67","ace",89.6907216494845,3.21250390720669,3,100
"68","ache",100,2.49598977199351,2,100
"69","achieve",92,3.39591434537246,0,100
"70","achievement",95,3.21213806673743,0,100
"71","achiever",83.8383838383838,3.53659006318611,1,100
"72","aching",99,2.8327350426267,0,100
"73","acid",85,3.40913648919666,0,100
"74","acidic",83,3.45389283520941,0,100
"75","acknowledge",94.8979591836735,3.52079292939028,2,100
"76","acne",88.7755102040816,2.88387001985368,2,100
"77","acorn",96.969696969697,2.28098987940507,1,100
"78","acoustic",94.8979591836735,1.97911097840507,2,100
"79","acquaintance",92.7835051546392,1.57389996867407,3,100
"80","acquire",96.969696969697,2.49088946034885,1,100
"81","acre",86.8686868686869,2.82550447176655,1,100
"82","acrid",98.7654320987654,2.90259286458393,19,100
"83","acrobat",90,3.18233667968541,0,100
"84","acrobatics",90.9090909090909,3.21851230961878,1,100
"85","acronym",72.0430107526882,3.50075877713173,7,100
"86","across",85.5670103092783,3.5871776026146,3,100
"87","act",93,2.99970833109337,0,100
"88","acting",90.9090909090909,3.5449848095277,1,100
"89","action",86.8686868686869,3.56451770691999,1,100
"90","actions",58.1632653061224,3.48350225690472,2,100
"91","activate",88.7755102040816,2.90282928982533,2,100
"92","active",93,3.62478842529102,0,100
"93","activist",76.7676767676768,4.01629970415437,1,100
"94","activity",92.7835051546392,3.82674775763368,3,100
"95","actor",83,3.43005408195839,0,100
"96","actors",71,3.66648824583866,0,100
"97","actress",82,3.37738494958165,0,100
"98","actual",97.9591836734694,1.62314329889688,2,100
"99","actually",84.9462365591398,3.07583972553839,7,100
"100","acute",98.989898989899,2.86144564057322,1,100
"101","ad",89.5833333333333,3.6443678534833,4,100
"102","Adam",87.7551020408163,1.21624721413466,2,100
"103","adapt",92.9292929292929,2.85839802845914,1,100
"104","add",97,2.46911678724194,0,100
"105","added",64.6464646464647,2.96069790233034,1,100
"106","addict",96.969696969697,2.53551096784392,1,100
"107","addicted",93,2.73887069522056,0,100
"108","addiction",92,2.92178875779415,0,100
"109","addictive",83,3.60890854585992,0,100
"110","addition",93.9393939393939,2.49481948704842,1,100
"111","additional",92.9292929292929,2.55802279335471,1,100
"112","additionally",91.8367346938776,2.59757785243297,2,100
"113","additive",81.25,3.59897837066841,4,100
"114","address",92,3.00343860516284,0,100
"115","adept",93.1818181818182,3.248527120787,12,100
"116","adequate",95.8333333333333,2.62983905792207,4,100
"117","adhere",94.6808510638298,1.95077844093873,6,100
"118","adhesive",97.9381443298969,1.4607852435775,3,100
"119","adieu",88.4210526315789,1.60609239667323,5,100
"120","adjacent",94.8453608247423,2.53943660856557,3,100
"121","adjective",91.4893617021277,2.84053083557084,6,100
"122","adjourn",97.752808988764,3.12101351574796,11,100
"123","adjust",92.7835051546392,3.40179900790926,3,100
"124","adjustment",88.8888888888889,3.34734585392252,1,100
"125","administration",85,3.83892829625464,0,100
"126","administrator",84.6938775510204,3.55763450800239,2,100
"127","admirable",75.7575757575758,3.76142974246271,1,100
"128","admiral",90,2.94217809252712,0,100
"129","admiration",85.5670103092783,3.33066790289881,3,100
"130","admire",92.6315789473684,3.23199572052738,5,100
"131","admission",92.9292929292929,3.31949044169146,1,100
"132","admit",90.8163265306122,3.53497801267853,2,100
"133","adobe",86.6666666666667,3.15894120953975,10,100
"134","adolescence",95,2.74701768867521,0,100
"135","adolescent",94.8979591836735,2.63799025730703,2,100
"136","adopt",90,2.72219099584983,0,100
"137","adoption",92,3.02132865148418,0,100
"138","adorable",96.9387755102041,1.90976292474992,2,100
"139","adoration",88,2.26795119646057,0,100
"140","adore",97,1.33698435534981,0,100
"141","adored",91,2.0307218677701,0,100
"142","adorn",93.3333333333333,3.28293523102683,10,100
"143","adornment",86.3636363636364,2.90061497114449,12,100
"144","adrenal",31.3253012048193,1.78235438687064,17,100
"145","adrenaline",87,2.91776539388481,0,100
"146","ads",71.7171717171717,3.50982128522307,1,100
"147","adult",93,3.33961892909492,0,100
"148","adultery",91.9191919191919,3.252076193544,1,100
"149","adults",80,3.19047788689682,0,100
"150","advance",91.8367346938776,3.26061131012422,2,100
"151","advanced",90.8163265306122,3.99332575796401,2,100
"152","advancement",92,3.31360794904901,0,100
"153","advantage",92.6315789473684,3.77825422553439,5,100
"154","adventure",94.9494949494949,3.7268426037623,1,100
"155","adventurer",83,3.78714426942629,0,100
"156","adventurous",85.8585858585859,3.93187678319618,1,100
"157","adverb",89,3.10055205121027,0,100
"158","adversary",97.7777777777778,1.98619263099487,10,100
"159","adversity",92.6315789473684,3.41635973785524,5,100
"160","advert",91.304347826087,3.0731798638408,8,100
"161","advertise",90,3.5873376868816,0,100
"162","advertisement",86,3.84628646300303,0,100
"163","advertising",81.8181818181818,3.79989424790074,1,100
"164","advice",93,3.83978054189858,0,100
"165","Advil",80,2.57686597982548,20,100
"166","advise",95.959595959596,3.45950096331993,1,100
"167","advisor",81.6326530612245,3.47458240803983,2,100
"168","advocate",91.7525773195876,3.53415220976968,3,100
"169","aerobics",93.9393939393939,2.78337464148614,1,100
"170","aerosol",88.8888888888889,1.86999335176057,1,100
"171","aesthetics",87.5,2.8237202879482,4,100
"172","afar",89.4736842105263,2.92674260262563,5,100
"173","a few",80.8080808080808,2.90470352510387,1,100
"174","affair",93.8775510204082,3.36873998249272,2,100
"175","affairs",80.2083333333333,3.72114328352107,4,100
"176","affect",94.7368421052632,2.98315271316485,5,100
"177","affection",98.9795918367347,1.48840530997976,2,100
"178","affectionate",96.969696969697,2.76169836823135,1,100
"179","affirm",84.6153846153846,3.52819213034452,9,100
"180","affirmative",94,2.34227488009219,0,100
"181","affluent",94.1860465116279,1.99343797096119,14,100
"182","afford",93,3.02860994221,0,100
"183","affordable",89,2.4671059156267,0,100
"184","afraid",98,1.98150381280859,0,100
"185","Africa",86.8686868686869,3.1149301344866,1,100
"186","African",88.8888888888889,3.19524407846064,1,100
"187","after",95,2.71536516302273,0,100
"188","afternoon",93.9393939393939,3.20868922761169,1,100
"189","aftershave",95.959595959596,3.30876681541105,1,100
"190","afterwards",90.7216494845361,2.52326663045765,3,100
"191","again",89.7959183673469,3.07979773309415,2,100
"192","against",93,3.20545870710605,0,100
"193","age",87,3.43005408195839,0,100
"194","aged",98.989898989899,1.8391056304717,1,100
"195","ageless",92.7083333333333,2.94024476597048,4,100
"196","agency",91,3.89283561036507,0,100
"197","agenda",95.9183673469388,3.41405180554693,2,100
"198","agent",88,3.50826082386894,0,100
"199","ages",62.6262626262626,3.52190247913233,1,100
"200","aggravate",89.5833333333333,3.02509283959496,4,100
"201","aggression",97.979797979798,3.02328586298154,1,100
"202","aggressive",96,3.59942922250725,0,100
"203","aghast",80.8988764044944,2.86585115390337,11,100
"204","agile",90.9090909090909,3.41604409316446,1,100
"205","agility",86.5979381443299,3.41782570841245,3,100
"206","aging",93,2.45871753918836,0,100
"207","agitate",93.8775510204082,3.13437657424641,2,100
"208","agitated",86,3.09185935149588,0,100
"209","agnostic",73.4042553191489,3.46259543571393,6,100
"210","ago",92,2.10518214269344,0,100
"211","agony",98.9795918367347,1.55117535223647,2,100
"212","agree",84,2.95325839407026,0,100
"213","agreeable",76.7676767676768,3.2147678239591,1,100
"214","agreed",80,3.56075408567052,0,100
"215","agreement",86.8686868686869,3.50700484373503,1,100
"216","agriculture",94,2.34378052227624,0,100
"217","ahead",88,3.02263534966709,0,100
"218","ahoy",91.6666666666667,2.82162818354231,4,100
"219","aid",98,1.73851279921114,0,100
"220","aide",88.7640449438202,2.46416666806498,11,100
"221","aids",82,2.80325660421625,0,100
"222","ailment",95.6521739130435,2.11860990385302,8,100
"223","aim",94.9494949494949,2.70984704372042,1,100
"224","aimless",76,3.28247452037747,0,100
"225","air",98,2.95093363837744,0,100
"226","air conditioning",87,2.55706949277411,0,100
"227","aircraft",96.969696969697,2.10200352027992,1,100
"228","air force",85.8585858585859,3.21422870619121,1,100
"229","airhead",85.4166666666667,3.30229495172738,4,100
"230","airless",86.734693877551,3.16135764130326,2,100
"231","airline",88,2.78049600964564,0,100
"232","airplane",91,3.27636131460951,0,100
"233","airport",89.8989898989899,3.06312398452457,1,100
"234","airship",77.8947368421053,3.04998609796245,5,100
"235","airy",90.5263157894737,3.03320878907737,5,100
"236","aisle",93.6842105263158,3.15235297504642,5,100
"237","alarm",95,3.17500739023507,0,100
"238","alas",58.2417582417582,3.63539407464724,9,100
"239","Alaska",90,2.71223696539494,0,100
"240","Albert",90,2.09080311426449,0,100
"241","album",96,2.45003426942816,0,100
"242","alchemy",85.4166666666667,2.74695046441949,4,100
"243","alcohol",95,2.95565405753361,0,100
"244","alcoholic",87.8787878787879,3.4092072692823,1,100
"245","alcoholism",90,3.220977601104,0,100
"246","ale",97.9166666666667,1.30277301882844,4,100
"247","alert",95,2.80537893452373,0,100
"248","algae",88.8888888888889,2.7186643213664,1,100
"249","algebra",95,2.1899100784846,0,100
"250","algorithm",92.7835051546392,2.15775742747739,3,100
"251","alibi",93.6842105263158,2.89373966508694,5,100
"252","alien",81.8181818181818,3.35102159115868,1,100
"253","aliens",73,3.27013098378405,0,100
"254","align",88.5416666666667,3.31206813055507,4,100
"255","alike",94.8979591836735,2.37823490923928,2,100
"256","a little",77.7777777777778,2.50626208085963,1,100
"257","alive",91.8367346938776,2.90197923990533,2,100
"258","all",90,3.00931540429306,0,100
"259","allegiance",94.7916666666667,3.14490698448975,4,100
"260","allergic",87,3.5712415861512,0,100
"261","allergies",85.8585858585859,3.30890797635,1,100
"262","allergy",80,3.32645059820281,0,100
"263","alley",91,2.80084515448819,0,100
"264","alliance",94.8979591836735,3.7101626239315,2,100
"265","alligator",95.959595959596,2.00154918597641,1,100
"266","allow",97,2.34237253678843,0,100
"267","allowance",90,1.66325963849535,0,100
"268","allowed",88.8888888888889,2.96073225427323,1,100
"269","alloy",92.3076923076923,1.94542682671216,9,100
"270","allspice",90,3.47621031104906,20,100
"271","allure",91.304347826087,3.51441520025141,8,100
"272","ally",93.8775510204082,2.20547196246004,2,100
"273","almanac",84.375,3.23991638387121,4,100
"274","almighty",95,1.40418393733671,0,100
"275","almond",92.9292929292929,2.59767130435208,1,100
"276","almonds",90,2.34958545591862,0,100
"277","almost",91,1.97271130839194,0,100
"278","aloe",41.0526315789474,1.68265104460948,5,100
"279","alone",96.9387755102041,2.98836323688868,2,100
"280","along",96.9387755102041,2.87175925046266,2,100
"281","alongside",93.9393939393939,2.6342043355381,1,100
"282","aloof",85.7142857142857,3.86326542540725,9,100
"283","alot",84.1463414634146,3.12985338641765,18,100
"284","a lot",92,2.47914573027303,0,100
"285","aloud",82.4742268041237,3.61836585273269,3,100
"286","alpha",97.979797979798,2.05552535871615,1,100
"287","alphabet",90.9090909090909,2.40956576619976,1,100
"288","Alpine",88.659793814433,2.82065543300571,3,100
"289","Alps",82.4742268041237,2.00015084438183,3,100
"290","already",92.7835051546392,2.83014794967695,3,100
"291","alright",93,2.23072997796619,0,100
"292","also",91.7525773195876,2.26041099229186,3,100
"293","altar",95.959595959596,2.68523039682726,1,100
"294","alter",95.9183673469388,2.22778708940276,2,100
"295","alteration",88.7755102040816,2.43771085673031,2,100
"296","alternate",92.9292929292929,3.16583971825535,1,100
"297","alternative",92,3.21682783086706,0,100
"298","alternatively",84.7826086956522,3.20149795454185,8,100
"299","although",93.6842105263158,3.29131352798695,5,100
"300","altitude",94.9494949494949,2.10045804869939,1,100
"301","alto",93.1818181818182,2.80017435871244,12,100
"302","altruism",82.2222222222222,3.70862794260198,10,100
"303","altruistic",83.3333333333333,3.39081771881351,10,100
"304","aluminum",96,2.85868629302426,0,100
"305","alumni",91.8367346938776,2.75646239402111,2,100
"306","Alvin",63.0434782608696,1.89389830128274,8,100
"307","always",89,2.33438591914016,0,100
"308","am",85,2.66716267457467,0,100
"309","amass",96.6292134831461,2.67914714590986,11,100
"310","amateur",80,3.75338395014881,0,100
"311","amaze",94.8979591836735,3.18528107327263,2,100
"312","amazement",90.8163265306122,3.12912941385963,2,100
"313","amazing",96.969696969697,3.32391492229116,1,100
"314","Amazon",85,3.08377053204579,0,100
"315","ambassador",79,3.59491897729971,0,100
"316","amber",87,3.67910737271106,0,100
"317","ambiance",97.8723404255319,2.98970766858364,6,100
"318","ambient",90.3225806451613,3.43525792119221,7,100
"319","ambiguous",87.6404494382023,3.29909700643428,11,100
"320","ambition",96.969696969697,3.65240325643938,1,100
"321","ambitious",83,4.08419203517656,0,100
"322","amble",82.5,2.2895481899429,20,100
"323","ambulance",87.8787878787879,3.17554953364054,1,100
"324","ambush",87,3.54816458172612,0,100
"325","amen",92,2.70151953311881,0,100
"326","amend",87.7551020408163,2.77782973782352,2,100
"327","America",66.6666666666667,3.19305860069934,1,100
"328","American",89,3.95857329703182,0,100
"329","Americans",81.8181818181818,3.84844488326441,1,100
"330","amiable",86.5168539325843,2.15978225186546,11,100
"331","amid",88.0434782608696,2.83684495539242,8,100
"332","amino acid",86.5979381443299,3.16456188032485,3,100
"333","ammo",94.6808510638298,1.76970521915674,6,100
"334","ammunition",86,2.33696814006985,0,100
"335","amoeba",82.9787234042553,3.33872425045222,6,100
"336","amok",87.0967741935484,3.06114164144126,7,100
"337","among",90.7216494845361,2.64526214386093,3,100
"338","amongst",91.9191919191919,2.94929842634657,1,100
"339","amorphous",62.6666666666667,3.73959444240212,25,100
"340","amount",95,2.76775915007825,0,100
"341","amp",88.5057471264368,3.24335754718921,13,100
"342","amphibian",95.8333333333333,1.83005715717115,4,100
"343","ample",96.875,3.0727998411698,4,100
"344","amplifier",86,2.82748958429691,0,100
"345","amplify",70.4081632653061,2.8494718282025,2,100
"346","amuse",89,2.72103050815885,0,100
"347","amusement",97,1.96592007483878,0,100
"348","amusing",95,1.8454501700402,0,100
"349","an",92.3913043478261,2.96903181291571,8,100
"350","anagram",78.7234042553192,3.13200340385911,6,100
"351","anal",76.7676767676768,3.1430009240767,1,100
"352","analog",87.7551020408163,2.39782456112137,2,100
"353","analogy",86.1702127659574,3.08590326152217,6,100
"354","analysis",90.9090909090909,3.66809761336807,1,100
"355","analyst",92.8571428571429,3.755147853203,2,100
"356","analytical",92.8571428571429,3.7901077364937,2,100
"357","analyze",93.9393939393939,3.70482119861651,1,100
"358","anarchist",75,3.76930018800888,4,100
"359","anarchy",87.6288659793814,3.29013031702639,3,100
"360","anatomy",90.9090909090909,2.54425828494296,1,100
"361","ancestor",85.8585858585859,3.3778929254121,1,100
"362","ancestors",79,3.48177875338533,0,100
"363","ancestry",85,3.24434464589645,0,100
"364","anchor",96,2.61587532696984,0,100
"365","ancient",91.9191919191919,1.52148146635985,1,100
"366","and",93,2.71207466985349,0,100
"367","android",96,1.92026056199755,0,100
"368","anecdote",93.5483870967742,2.21394800882803,7,100
"369","anemia",86.1702127659574,2.92001070504674,6,100
"370","anew",81.8181818181818,3.04947474584575,12,100
"371","angel",90.9090909090909,3.33605306885348,1,100
"372","angelic",89,3.16418376453913,0,100
"373","angels",77,2.88623695357479,0,100
"374","anger",94.8979591836735,2.6829873075658,2,100
"375","angle",94,3.19642894461174,0,100
"376","angled",74.4897959183673,3.73682832357287,2,100
"377","angles",72,3.26539379092533,0,100
"378","angry",92.9292929292929,2.6239637552334,1,100
"379","angst",96.7032967032967,3.31774613854582,9,100
"380","anguish",97.9166666666667,2.79783131269335,4,100
"381","animal",93,3.61826223069974,0,100
"382","animals",91,3.71346958906343,0,100
"383","animate",86.8686868686869,2.94963360301373,1,100
"384","animation",85,2.60125812007334,0,100
"385","anime",88.5057471264368,2.37049921148495,13,100
"386","ankle",92.8571428571429,2.77898960913467,2,100
"387","annihilate",94.7916666666667,2.23595378762937,4,100
"388","anniversary",97.9381443298969,2.75824469233264,3,100
"389","announce",93,3.58986440227376,0,100
"390","announcement",82,3.67004625752809,0,100
"391","annoy",94.8453608247423,3.40976238239853,3,100
"392","annoyance",83.8383838383838,3.99642430008848,1,100
"393","annoyed",86,3.29695950064027,0,100
"394","annoying",88.8888888888889,3.97430999593841,1,100
"395","annual",95,1.78548538725661,0,100
"396","annually",94,1.83245429903867,0,100
"397","anonymous",81.3186813186813,3.33590131576616,9,100
"398","anorexia",80,2.58045558163108,0,100
"399","another",91.8367346938776,3.2817238180545,2,100
"400","answer",99,2.14495295483253,0,100
"401","answers",80.8080808080808,2.2311888259053,1,100
"402","ant",95,2.87183559607943,0,100
"403","Antarctic",91,2.32570617043551,0,100
"404","anteater",93.4065934065934,3.20903734470519,9,100
"405","antecedent",84.9315068493151,2.88162344913204,27,100
"406","antelope",97.9381443298969,2.78615407302383,3,100
"407","antenna",69.6969696969697,3.06891237150771,1,100
"408","anterior",92.4050632911392,3.03897911208006,21,100
"409","anthem",94.8979591836735,2.26702511690689,2,100
"410","anthill",87.3684210526316,3.36810809868318,5,100
"411","anthropology",84.5360824742268,3.47466982991798,3,100
"412","anti",83.6734693877551,2.5809629362328,2,100
"413","antibiotic",85,3.07046764944058,0,100
"414","antibiotics",88,2.9286718080422,0,100
"415","anticipate",88.8888888888889,3.72212515309455,1,100
"416","anticipation",90.9090909090909,3.23945357769701,1,100
"417","antidote",97,2.56722287987103,0,100
"418","antiquated",86.9565217391304,1.38029726004704,8,100
"419","antique",95,1.40390985384123,0,100
"420","antiques",81.8181818181818,2.21500427985544,1,100
"421","antiseptic",88.8888888888889,3.11766323150224,1,100
"422","antisocial",89,3.63953209323254,0,100
"423","antler",94.8979591836735,1.74335442939753,2,100
"424","antlers",97.9381443298969,1.45993103509092,3,100
"425","ants",90,3.54556980539467,0,100
"426","anus",77.7777777777778,2.69448548173592,1,100
"427","anvil",88.1720430107527,2.59095197163002,7,100
"428","anxiety",97,2.81362664068572,0,100
"429","anxious",95.8762886597938,2.52225819418517,3,100
"430","any",93,2.73791577993831,0,100
"431","anybody",97,3.05438919477498,0,100
"432","anyone",91.9191919191919,3.04160563157642,1,100
"433","anything",94.7916666666667,2.90534799611557,4,100
"434","anytime",90.9090909090909,2.51421292003688,1,100
"435","anyway",76.8421052631579,3.76547587540439,5,100
"436","anywhere",85,3.02692486923359,0,100
"437","apache",95.4022988505747,2.18588654199662,13,100
"438","apart",92.9292929292929,2.85710321385766,1,100
"439","apartheid",88.2978723404255,2.77942791494657,6,100
"440","apartment",92.9292929292929,3.11649872436238,1,100
"441","apartments",61,3.53270589631787,0,100
"442","apathetic",85.5555555555556,3.49720454760439,10,100
"443","apathy",78.6516853932584,4.00086955170848,11,100
"444","ape",98,2.50834116525359,0,100
"445","apes",77,2.62091762808326,0,100
"446","apex",95.6043956043956,2.44910597402629,9,100
"447","aphrodisiac",76.0416666666667,2.45837010617035,4,100
"448","apocalypse",79.7979797979798,2.89253778960445,1,100
"449","apologize",92.7835051546392,1.84015175315103,3,100
"450","apology",96.969696969697,1.67343769091198,1,100
"451","apostle",76.3440860215054,3.08405753530625,7,100
"452","app",94.9494949494949,2.50447893767943,1,100
"453","apparel",97.9381443298969,1.65462930196055,3,100
"454","apparent",89.4736842105263,2.65702650815383,5,100
"455","apparition",96.8085106382979,1.39328842850236,6,100
"456","appeal",94.8453608247423,3.42958515462098,3,100
"457","appealing",88,3.27343117110727,0,100
"458","appear",93.9393939393939,2.96882674928788,1,100
"459","appearance",94.7916666666667,3.32391741194425,4,100
"460","appendage",92.4731182795699,2.54873999252913,7,100
"461","appendix",85.8585858585859,3.56409225841206,1,100
"462","appetite",96,2.02155986095625,0,100
"463","appetizer",78.3505154639175,3.13414025865402,3,100
"464","applaud",96.9387755102041,1.68813181876092,2,100
"465","applause",90,2.6312291667435,0,100
"466","apple",93,2.95626033582657,0,100
"467","apple juice",95.959595959596,3.60199959006385,1,100
"468","apple pie",97,3.47317676989815,0,100
"469","apples",88,2.11369370327048,0,100
"470","applesauce",85.5670103092783,3.70852705555065,3,100
"471","appliance",96.9072164948454,3.21971542892482,3,100
"472","application",93,3.1490692509582,0,100
"473","apply",90.8163265306122,3.59760706428349,2,100
"474","appoint",92,3.74597788640257,0,100
"475","appointment",87.8787878787879,2.89734757209063,1,100
"476","appraisal",95.5056179775281,3.70524624383907,11,100
"477","appraise",88.0434782608696,3.41792255295433,8,100
"478","appreciate",92.8571428571429,3.15366463399547,2,100
"479","appreciation",93.8775510204082,3.33131155437894,2,100
"480","apprehend",96.8421052631579,2.75807967149135,5,100
"481","apprehension",91.3978494623656,3.05929760652853,7,100
"482","apprehensive",96.969696969697,2.98604006761336,1,100
"483","apprentice",87.8787878787879,3.74886400890809,1,100
"484","approach",83,3.45923630636109,0,100
"485","appropriate",94,3.24135478056457,0,100
"486","approval",89.7959183673469,3.79447492966499,2,100
"487","approve",97.9381443298969,3.25488049455155,3,100
"488","approximate",94.9494949494949,2.93698568078634,1,100
"489","approximately",89.7959183673469,2.68729811403072,2,100
"490","approximation",85.5670103092783,2.78189137218856,3,100
"491","apricot",94.9494949494949,2.49646052226979,1,100
"492","April",94,2.52271239667626,0,100
"493","apron",86.8686868686869,3.16327088793331,1,100
"494","apt",92.6315789473684,3.25249948860326,5,100
"495","aptitude",96.8085106382979,2.53535238600154,6,100
"496","aqua",96,1.33039251113508,0,100
"497","aquarium",92,1.23447621306631,0,100
"498","Arab",75,3.61724067431817,0,100
"499","Arabic",81,2.8278401722001,0,100
"500","arachnid",98.9247311827957,0.53057141677865,7,100
"501","arc",73.1958762886598,3.44956015448204,3,100
"502","arcade",94,2.23879021700324,0,100
"503","arch",84.6938775510204,3.78260057067048,2,100
"504","archaic",97.8494623655914,1.34234040340688,7,100
"505","archeology",85.8585858585859,3.23659725688952,1,100
"506","archery",93.9393939393939,2.25661526248782,1,100
"507","architect",89.7959183673469,3.25644216130942,2,100
"508","architecture",91.9191919191919,2.33676165785264,1,100
"509","archive",95.8762886597938,3.24604597232796,3,100
"510","arctic",94.9494949494949,2.55464809526817,1,100
"511","arduous",98.8505747126437,2.05397330232195,13,100
"512","are",97.8947368421053,2.65760876594507,5,100
"513","area",92.9292929292929,3.61779650328292,1,100
"514","arena",85,3.31115418397129,0,100
"515","argue",97,2.77743874903196,0,100
"516","argument",91,3.21088479101208,0,100
"517","argumentative",70,4.01787312353342,0,100
"518","arid",96.7391304347826,1.13525086103937,8,100
"519","Aries",81.25,3.09739038704836,4,100
"520","aright",87.0967741935484,3.13833229581953,38,100
"521","arise",83.5051546391753,3.49674674857911,3,100
"522","aristocracy",75,3.83304750042506,4,100
"523","aristocrat",88.4210526315789,3.54569019139183,5,100
"524","aristocratic",80.6122448979592,3.46837004931899,2,100
"525","arithmetic",97.979797979798,1.5526640806216,1,100
"526","Arizona",81,3.13411077409189,0,100
"527","arm",94.9494949494949,2.32604145933633,1,100
"528","armada",88.1720430107527,2.74782776582841,7,100
"529","armchair",91.9191919191919,3.5814261350396,1,100
"530","armed",92,2.70903094254743,0,100
"531","armed forces",90,2.46976378467433,0,100
"532","armor",87,3.24329081199379,0,100
"533","armpit",94,2.83235498644231,0,100
"534","arms",88.659793814433,3.14125081085492,3,100
"535","army",89.8989898989899,3.14207739291996,1,100
"536","aroma",99,1.55634257357314,0,100
"537","aromatic",87.6288659793814,2.95471538927342,3,100
"538","around",87.7551020408163,3.02700704325387,2,100
"539","arousal",95.8762886597938,2.57052758827924,3,100
"540","arouse",88.8888888888889,3.04346958632592,1,100
"541","arrange",94.8979591836735,3.14035905673026,2,100
"542","arrangement",95.9183673469388,3.19055812002873,2,100
"543","array",88.4210526315789,4.01741170992423,5,100
"544","arrest",95,3.09002510735857,0,100
"545","arrested",87,2.85506644240566,0,100
"546","arrival",95,3.40384177835532,0,100
"547","arrive",93.8775510204082,3.37345200971015,2,100
"548","arriving",82,3.49960073876738,0,100
"549","arrogance",85.2631578947368,3.89262038781334,5,100
"550","arrogant",90.9090909090909,3.8847622318229,1,100
"551","arrow",94.9494949494949,2.97039257596805,1,100
"552","arrows",69.6969696969697,2.90001385226888,1,100
"553","arsenic",86.3157894736842,1.40968823105673,5,100
"554","art",92,3.55051224646495,0,100
"555","artery",91.5789473684211,1.87998123406772,5,100
"556","arthritis",92.7835051546392,2.65854989163627,3,100
"557","Arthur",80.2083333333333,2.23715532416787,4,100
"558","article",95,2.85900043085993,0,100
"559","articulate",88.659793814433,3.13153539742499,3,100
"560","artifact",81,3.19960706301909,0,100
"561","artificial",95,2.25001813524807,0,100
"562","artillery",85.7142857142857,2.76703222280748,2,100
"563","artisan",88.5416666666667,3.12715694188497,4,100
"564","artist",93,3.42994693910452,0,100
