"","cue","coverage","H","unknown","xR2","xR3","N"
"144","adrenal",53.0364372469636,3.51173901649178,0,16,21,300
"145","adrenaline",87.1186440677966,4.08164182813771,0,1,3,300
"146","ads",72.9241877256318,4.57593637163408,0,7,9,300
"147","adult",92.057761732852,4.10934866319682,0,5,13,300
"148","adultery",90.8127208480565,4.29763419905039,0,4,9,300
"149","adults",84.8920863309353,4.01152372397631,0,4,14,300
"150","advance",89.5833333333333,4.29681902165099,0,1,10,300
"151","advanced",82.9268292682927,4.70186578776697,0,2,9,300
"152","advancement",89.7338403041825,4.11142415144979,0,14,9,300
"153","advantage",87.5912408759124,4.47412770859443,0,2,19,297
"154","adventure",88.3561643835616,4.73205812035247,0,1,6,300
"155","adventurer",81.5094339622642,4.7093306116197,0,11,13,300
"156","adventurous",87.2413793103448,4.64750695607302,0,2,6,300
"157","adverb",88.4892086330935,3.62310240736061,0,7,8,300
"158","adversary",86.0714285714286,3.59762077431558,0,2,16,300
"159","adversity",88.8888888888889,4.36683114061301,0,1,10,300
"160","advert",83.739837398374,4.11057184356101,0,22,10,300
"161","advertise",86.2542955326461,4.38681685355556,0,0,9,300
"162","advertisement",84.7517730496454,4.69619961053581,0,5,8,300
"163","advertising",79.8634812286689,4.69503120394975,0,0,7,300
"164","advice",94.9458483754513,4.47989614965112,0,5,10,297
"165","Advil",67.1532846715328,3.38282149809706,0,2,22,300
"166","advise",93.1159420289855,4.32712148359949,0,2,14,294
"167","advisor",86.0805860805861,4.11931137608171,0,0,15,288
"168","advocate",83.9857651245552,4.47252842147877,0,3,13,300
"169","aerobics",84.7750865051903,4.09118790679939,0,4,3,300
"170","aerosol",85.0393700787402,3.19046652751897,0,13,8,288
"171","aesthetics",86.3157894736842,3.9864956507942,0,4,7,300
"172","afar",86.7924528301887,3.85390939281641,0,9,11,294
"173","a few",73.0627306273063,3.98958243772663,0,8,13,300
"174","affair",87.9858657243816,4.42614018802117,0,4,9,300
"175","affairs",79.7153024911032,4.59077738768791,0,5,9,300
"176","affect",89.9628252788104,4.14499079552078,0,5,21,300
"177","affection",94.4827586206897,3.63310683014854,0,0,10,300
"178","affectionate",94.2953020134228,3.95361941489897,0,0,2,300
"179","affirm",81.9852941176471,4.35024786234629,0,2,18,294
"180","affirmative",89.7887323943662,3.772980129061,0,1,11,297
"181","affluent",80.9523809523809,3.58263362638557,0,8,17,285
"182","afford",91.2280701754386,4.03476987805806,0,4,7,300
"183","affordable",85.8131487889273,3.87106365892691,0,3,5,300
"184","afraid",92.8082191780822,3.62687323354733,0,2,4,300
"185","Africa",87.4576271186441,4.31895331445688,0,1,3,300
"186","African",80.6122448979592,4.42986157127105,0,0,6,300
"187","after",93.75,3.82505232814044,0,0,12,300
"188","afternoon",91.8088737201365,3.93137975745623,0,0,7,300
"189","aftershave",94.7368421052632,3.98512925367513,0,3,9,300
"190","afterwards",90.2985074626866,3.82564485711537,0,9,14,300
"191","again",88.086642599278,3.90235256422306,0,3,17,300
"192","against",90.1754385964912,4.19141526199737,0,3,9,300
"193","age",87.1080139372822,4.2561271320392,0,2,9,300
"194","aged",90.4761904761905,3.7748633909785,0,1,4,300
"195","ageless",85.823754789272,4.08635610400429,0,12,15,300
"196","agency",87.8892733564014,4.69823891653074,0,4,3,300
"197","agenda",90.3914590747331,4.21070806660076,0,3,13,300
"198","agent",85.0174216027875,4.35509027655769,0,3,7,300
"199","ages",62.7376425855513,4.36539759365522,0,7,8,285
"200","aggravate",88.7272727272727,3.95717130789796,0,3,13,294
"201","aggression",93.2203389830508,4.30633179123019,0,1,3,300
"202","aggressive",90.8163265306122,4.53166684220569,0,1,4,300
"203","aghast",68.6746987951807,3.72814901087683,0,15,21,300
"204","agile",91.0034602076124,4.10265734415259,0,3,5,300
"205","agility",80.2158273381295,4.32836828324645,0,5,12,300
"206","aging",82.2916666666667,4.11953194782548,0,2,8,300
"207","agitate",88.2352941176471,4.1504565494682,0,4,14,294
"208","agitated",83.8827838827839,3.93173102583939,0,10,7,300
"209","agnostic",77.3076923076923,4.25719890406418,0,8,18,294
"210","ago",89.8550724637681,3.34437580569362,0,6,12,300
"211","agony",92.5170068027211,3.59046028084776,0,1,4,300
"212","agree",86.0714285714286,4.29979332321223,0,4,12,300
"213","agreeable",77.8195488721805,4.17119596278553,0,12,10,300
"214","agreed",77.7777777777778,4.48273312953082,0,10,10,300
"215","agreement",87.1428571428571,4.27356805299454,0,4,12,300
"216","agriculture",89.8305084745763,3.79644125603201,0,1,3,300
"217","ahead",89.7887323943662,4.26111803509655,0,4,8,300
"218","ahoy",90.8127208480565,3.53485428669713,0,3,11,300
"219","aid",91.6955017301038,3.5940294347096,0,2,7,300
"220","aide",76.2845849802372,3.92473707697485,0,14,19,300
"221","aids",81.8815331010453,3.81601363870927,0,3,7,300
"222","ailment",89.3617021276596,3.37677711068461,0,2,14,300
"223","aim",94.7183098591549,3.56772299972611,0,4,8,300
"224","aimless",74.4360902255639,4.35481759580562,0,10,14,300
"225","air",97.6588628762542,3.94010700851042,0,0,1,300
"226","air conditioning",86.0627177700349,4.07254579587708,0,3,4,297
"227","aircraft",89.5622895622896,3.67822937425496,0,1,1,300
"228","air force",82.9351535836177,3.9118186223614,0,1,5,300
"229","airhead",80.2919708029197,4.13267356189068,0,4,12,294
"230","airless",84.0466926070039,4.07941792010185,0,14,12,297
"231","airline",87.1621621621622,4.06266947988208,0,1,2,300
"232","airplane",89.4557823129252,4.16178258183897,0,1,4,300
"233","airport",91.0344827586207,4.15118763976347,0,1,8,300
"234","airship",78.0876494023904,3.94840112940556,0,9,16,285
"235","airy",84.8056537102474,3.96465389346571,0,4,9,300
"236","aisle",89.6296296296296,3.92626252821489,0,4,10,288
"237","alarm",94.1379310344828,3.97585390279326,0,0,7,297
"238","alas",58.9430894308943,4.19527748097079,0,15,24,300
"239","Alaska",83.2191780821918,3.82794972784362,0,2,4,300
"240","Albert",75.2066115702479,3.70496988562662,0,23,12,300
"241","album",92.9328621908127,3.40951961354106,0,4,9,300
"242","alchemy",82.4175824175824,3.65553867978175,0,7,13,300
"243","alcohol",92.8327645051195,3.99731520660389,0,2,3,300
"244","alcoholic",86.159169550173,4.43395777832286,0,2,7,300
"245","alcoholism",85.1063829787234,4.21717465109329,0,4,7,297
"246","ale",90.5405405405405,3.3521340705262,0,1,2,300
"247","alert",89.7610921501707,3.98446966827646,0,1,5,300
"248","algae",91.2587412587413,3.53450823333001,0,2,4,294
"249","algebra",85.3658536585366,3.93711038854085,0,0,10,297
"250","algorithm",85.1063829787234,4.09458749961524,0,3,9,297
"251","alibi",87.410071942446,4.08250647270648,0,4,14,300
"252","alien",84.4290657439446,4.08235434601648,0,2,7,300
"253","aliens",71.0884353741497,4.20200612986864,0,0,6,300
"254","align",87.4551971326165,4.2880459605765,0,5,11,300
"255","alike",86.1818181818182,3.44278425702218,0,4,17,300
"256","a little",72.4264705882353,3.60558552240584,0,7,14,300
"257","alive",92.6573426573427,4.11895652387189,0,3,8,300
"258","all",89.8954703832753,3.97440789163741,0,1,11,300
"259","allegiance",90.5923344947735,3.98958965060814,0,1,11,300
"260","allergic",80.2721088435374,4.25440112529221,0,1,4,300
"261","allergies",83.9041095890411,4.18809496285086,0,1,6,300
"262","allergy",84.3537414965986,4.14096352634654,0,1,4,300
"263","alley",84.8056537102474,3.90856891100543,0,3,11,300
"264","alliance",86.8965517241379,4.44812631382083,0,2,6,300
"265","alligator",90.7849829351536,3.62854374013386,0,2,3,300
"266","allow",93.5361216730038,3.62261011650986,0,11,15,300
"267","allowance",86.0215053763441,3.70260217504445,0,3,15,300
"268","allowed",87.8228782287823,4.03871442267428,0,6,17,300
"269","alloy",86.7158671586716,3.42657265760946,0,7,15,300
"270","allspice",79.3233082706767,3.92653699955673,0,4,23,297
"271","allure",83.3333333333333,4.41356702906362,0,9,18,300
"272","ally",87.3720136518771,3.91447370277469,0,0,7,300
"273","almanac",83.6879432624114,4.11051674187303,0,5,8,300
"274","almighty",84.6975088967972,3.52986406419603,0,5,6,297
"275","almond",90.8163265306122,3.8901380258465,0,1,4,300
"276","almonds",83.2167832167832,4.01388977426133,0,4,6,300
"277","almost",81.25,3.60809456106079,0,1,10,300
"278","aloe",68.8811188811189,3.28161502771298,0,4,6,300
"279","alone",92.6739926739927,3.9959208157045,0,5,17,300
"280","along",91.304347826087,3.91078642969722,0,6,12,300
"281","alongside",89.6797153024911,3.97292143082411,0,7,5,300
"282","aloof",83.3333333333333,4.48366664263567,0,1,16,300
"283","alot",72.156862745098,4.08805895891353,0,8,26,297
"284","a lot",91.4285714285714,3.70727241548889,0,7,6,300
"285","aloud",82.3529411764706,4.30050245877739,0,15,15,300
"286","alpha",91.156462585034,3.38270540014211,0,2,2,300
"287","alphabet",86.4583333333333,3.64594962998835,0,2,8,300
"288","Alpine",88.2352941176471,3.83840485960438,0,4,3,300
"289","Alps",84.2857142857143,3.18844254996788,0,6,8,300
"290","already",83.6363636363636,3.82353885331018,0,3,19,300
"291","alright",88.9655172413793,3.49034176259746,0,1,8,300
"292","also",84.0148698884758,3.5286693248277,0,9,13,300
"293","altar",92.8813559322034,3.73328063874839,0,0,5,300
"294","alter",90.2173913043478,3.79411668018741,0,5,14,300
"295","alteration",85.4406130268199,3.76727082023417,0,14,11,300
"296","alternate",87.0175438596491,4.18233906469708,0,3,9,300
"297","alternative",90.0709219858156,4.04391438468662,0,3,12,300
"298","alternatively",81.3688212927757,4.05118361147584,0,6,25,300
"299","although",85.0746268656716,4.13198266454571,0,7,18,300
"300","altitude",89.7610921501707,3.40044813398391,0,0,7,300
"301","alto",86.2595419847328,3.47725500055556,0,4,15,285
"302","altruism",75,4.4315839211694,0,3,14,300
"303","altruistic",80.5447470817121,4.09633830830902,0,10,14,291
"304","aluminum",93.4782608695652,3.58298606061627,0,4,4,288
"305","alumni",88.0701754385965,3.95080053377191,0,2,11,300
"306","Alvin",60.6796116504854,3.18799659746137,0,38,18,300
"307","always",83.3935018050541,3.88207214639425,0,7,9,300
"308","am",76.0147601476015,3.61243149028007,0,10,9,300
"309","amass",84.8979591836735,3.806153712069,0,18,13,294
"310","amateur",83.3922261484099,4.49229041278653,0,2,13,300
"311","amaze",92.5,4.05773719759287,0,7,6,300
"312","amazement",83.9160839160839,4.12910037783957,0,1,12,300
"313","amazing",94.0559440559441,4.10770833191534,0,3,8,300
"314","Amazon",87.6760563380282,3.78608185344705,0,1,8,294
"315","ambassador",82.6568265682657,4.26058631596157,0,11,7,300
"316","amber",88.135593220339,4.38100959144084,0,1,3,300
"317","ambiance",92.7536231884058,3.93975437232642,0,5,14,300
"318","ambient",88.5714285714286,4.24990103635483,0,3,11,297
"319","ambiguous",78.1481481481481,4.21280777173822,0,5,20,300
"320","ambition",93.6842105263158,4.4069114721132,0,2,11,300
"321","ambitious",80.8270676691729,4.90856078072042,0,11,12,300
"322","amble",70.3296703296703,3.48194570384237,0,2,23,300
"323","ambulance",87.1186440677966,3.84644848315413,0,1,3,300
"324","ambush",90.9090909090909,4.24723665470842,0,1,12,300
"325","amen",88.1944444444444,3.61213329598205,0,4,4,300
"326","amend",85.3479853479853,3.81428649644977,0,7,13,300
"327","America",75.7679180887372,4.42389996687342,0,1,5,300
"328","American",86.8965517241379,4.72563826723097,0,4,2,300
"329","Americans",78.5185185185185,4.85894149686266,0,4,10,288
"330","amiable",79.4776119402985,3.55184112427111,0,7,12,294
"331","amid",82.824427480916,3.70328391773284,0,8,22,300
"332","amino acid",78.5992217898833,3.99929337954084,0,17,9,300
"333","ammo",80.4123711340206,3.73409631386831,0,0,9,300
"334","ammunition",77.1428571428572,3.74445039817094,0,5,10,300
"335","amoeba",76.5124555160142,4.31610768654093,0,3,13,300
"336","amok",76.953125,4.13011488472702,0,12,20,300
"337","among",86.4468864468865,3.76540507752659,0,3,15,294
"338","amongst",89.5522388059701,3.75631915766669,0,12,8,300
"339","amorphous",47.8260869565217,3.83785467469233,0,15,40,300
"340","amount",92.2794117647059,3.88767028372018,0,8,12,300
"341","amp",79.6363636363636,3.92690187413978,0,3,10,291
"342","amphibian",90.6810035842294,3.21084386582137,0,1,10,291
"343","ample",90.1098901098901,4.00293169930999,0,4,19,300
"344","amplifier",86.013986013986,3.61057273361779,0,3,8,300
"345","amplify",77.0034843205575,3.97365613827093,0,3,7,300
"346","amuse",90.0709219858156,3.63037892459986,0,5,8,300
"347","amusement",92.0962199312715,3.49944625599156,0,3,3,300
"348","amusing",89.6551724137931,3.50198820245653,0,2,6,300
"349","an",87.5912408759124,3.91923554845613,0,5,16,300
"350","anagram",72.289156626506,4.16171438588069,0,17,17,300
"351","anal",72.6315789473684,4.09093606891053,0,1,13,300
"352","analog",84.4202898550725,3.72158626193165,0,7,10,300
"353","analogy",80.7377049180328,3.77873625606476,0,16,21,297
"354","analysis",90.1023890784983,4.8149576874875,0,2,3,300
"355","analyst",89.84375,4.57188996357409,0,17,10,300
"356","analytical",88.4057971014493,4.49605864219083,0,9,3,297
"357","analyze",90.2439024390244,4.72467075771027,0,1,11,300
"358","anarchist",71.3768115942029,4.6220923356352,0,6,12,300
"359","anarchy",82.2299651567944,4.38919928199028,0,1,11,300
"360","anatomy",85.4237288135593,3.80723125892581,0,0,5,300
"361","ancestor",86.8794326241135,4.12601863369183,0,2,5,291
"362","ancestors",77.3519163763066,4.1243530975441,0,3,7,300
"363","ancestry",85.6655290102389,3.86776255335492,0,2,3,300
"364","anchor",90.8783783783784,3.86164100758605,0,1,2,300
"365","anchovy",93.1034482758621,2.93514895543706,0,3,4,300
"366","ancient",86.3799283154122,3.78047761971045,0,4,7,294
"367","and",91.8727915194346,3.565511086034,0,4,9,300
"368","android",83.0258302583026,3.33029378143289,0,10,3,294
"369","anecdote",87.3076923076923,3.73978257036669,0,11,12,294
"370","anemia",78.3582089552239,3.68006345920893,0,8,7,291
"371","anew",76.4,3.63443959081159,0,13,21,297
"372","angel",90.7534246575342,4.05430032669692,0,0,5,297
"373","angelic",91.0958904109589,4.0808123847602,0,2,4,300
"374","angels",79.933110367893,3.88806687276504,0,0,1,300
"375","anger",89.5470383275261,4.16095016737413,0,2,9,300
"376","angle",90.625,4.09302097064343,0,3,6,300
"377","angled",74.8062015503876,4.41376506044956,0,12,18,300
"378","angles",74.7292418772563,4.16343188440716,0,6,11,300
"379","angry",89.6193771626298,3.95159356316464,0,1,9,300
"380","angst",88.1118881118881,4.45125192314161,0,0,14,300
"381","anguish",92.1428571428571,3.85693458846456,0,5,10,300
"382","animal",92.1768707482993,4.24458014672826,0,0,6,300
"383","animals",89.7959183673469,4.30464543703801,0,1,4,300
"384","animate",81.8840579710145,4.07997933740284,0,8,8,300
"385","animation",78.2006920415225,3.90479013649796,0,2,7,300
"386","anime",78.4172661870504,3.36337599508381,0,1,20,300
"387","ankle",91.3793103448276,3.55006166314318,0,1,8,300
"388","annihilate",86.5979381443299,3.89968340911631,0,2,5,300
"389","anniversary",92.8082191780822,3.83745661353972,0,1,6,300
"390","announce",90.3703703703704,4.47085516325033,0,3,9,285
"391","announcement",82.5,4.30978160014671,0,5,10,300
"392","annoy",90.1818181818182,4.47153830436423,0,4,11,294
"393","annoyance",81.0909090909091,4.74250916914408,0,7,11,300
"394","annoyed",84.2490842490842,4.13677035338717,0,7,13,300
"395","annoying",85.0533807829182,4.79152538813853,0,6,7,300
"396","annual",88.8501742160279,4.07655036060114,0,2,9,300
"397","annually",89.051094890511,3.81412042795392,0,6,8,294
"398","anonymous",77.536231884058,4.1585870482359,0,4,16,300
"399","anorexia",80.8080808080808,3.7385565928263,0,0,3,300
"400","another",89.6797153024911,4.01108197811042,0,2,15,300
"401","answer",96.8965517241379,3.58900763746078,0,2,6,300
"402","answers",75.9717314487633,3.88872889713494,0,5,7,300
"403","ant",92.4398625429553,4.09433624510684,0,3,3,300
"404","Antarctic",82.3104693140794,3.28085736610779,0,5,4,291
"405","anteater",90.3345724907063,3.88601029787241,0,8,15,300
"406","antecedent",64.0316205533597,3.47771929755829,0,3,41,300
"407","antelope",91.0652920962199,3.93553955391627,0,1,7,300
"408","antenna",75.0841750841751,3.86315408057326,0,0,3,300
"409","anterior",76.1538461538461,3.89725170135341,0,5,27,297
"410","anthem",90.8759124087591,3.62592399445812,0,1,12,288
"411","anthill",84.469696969697,4.21015860099366,0,11,14,300
"412","anthropology",84.6153846153846,4.05786597301921,0,8,11,300
"413","anti",79.182156133829,3.99748135859041,0,9,13,300
"414","antibiotic",83.7455830388693,3.90781220707391,0,5,4,297
"415","antibiotics",82.1052631578947,4.14509465639608,0,3,9,300
"416","anticipate",86.6425992779783,4.45061296366941,1,5,10,300
"417","anticipation",89.2733564013841,4.1287708131218,0,3,5,300
"418","antidote",92.8082191780822,3.62838088206811,0,1,6,300
"419","antiquated",74.6212121212121,3.5219286807743,0,8,14,294
"420","antique",92.5170068027211,3.56515500006767,0,2,2,300
"421","antiques",84.3866171003718,3.81413788309381,0,4,11,288
"422","antiseptic",85.2233676975945,4.01508596457018,0,2,2,297
"423","antisocial",86.8131868131868,4.3617572271343,0,8,11,300
"424","antler",91.9298245614035,3.56781480586337,0,4,7,300
"425","antlers",94.19795221843,3.48419614074457,0,1,5,300
"426","ants",87.1621621621622,4.40243053990271,0,1,2,300
"427","anus",78.4671532846715,3.61384624914495,0,9,8,300
"428","anvil",83.2752613240418,3.79519858012613,0,1,11,300
"429","anxiety",95.0530035335689,4.01346583231198,0,3,8,297
"430","anxious",86.4285714285714,3.89382137999243,0,1,18,300
"431","any",91.0714285714286,3.69971439875819,0,4,12,300
"432","anybody",92.0863309352518,3.88342267077742,0,7,8,300
"433","anyone",87.6865671641791,3.93500271780341,0,6,14,294
"434","anything",88.768115942029,3.91590350502341,0,3,18,300
"435","anytime",87.2791519434629,3.87875170132668,0,2,13,300
"436","anyway",71.1678832116788,4.41841095052664,0,6,14,300
"437","anywhere",85.1449275362319,3.7689744214797,0,5,14,300
"438","aorta",86.6666666666667,2.80676333644343,0,9,12,300
"439","apache",79.9180327868852,3.73918910840046,0,15,26,300
"440","apart",81.8181818181818,3.95349051447289,0,4,6,300
"441","apartheid",75.9856630824373,3.80594744981407,0,4,13,300
"442","apartment",91.0958904109589,4.04229670197685,0,1,6,300
"443","apartments",66.6666666666667,4.50723401412957,0,9,6,297
"444","apathetic",75.7575757575758,4.41149447194028,0,11,14,300
"445","apathy",71.7391304347826,4.7736513536687,0,2,20,300
"446","ape",93.1972789115646,3.602221410823,0,2,2,300
"447","apes",68.0851063829787,3.80305294863551,0,5,8,300
"448","apex",89.2193308550186,3.48362175161244,0,5,21,300
"449","aphrodisiac",76.1904761904762,3.894026300397,0,2,14,291
"450","apocalypse",76.551724137931,4.15893373568352,0,3,4,300
"451","apologize",88.1720430107527,3.82156911758146,0,5,11,300
"452","apology",90.0709219858156,3.79279167277462,0,5,8,300
"453","apostle",69.2592592592593,3.79170993196305,0,8,14,300
"454","app",89.9641577060932,3.7218741036824,0,4,10,297
"455","apparel",91.6376306620209,3.66871966942448,0,3,7,300
